product_id,segment,launch_year,launch_quarter,novelty_score,technical_complexity,disruption_potential,market_size,competition_intensity,timing_score,team_experience,diversity_index,domain_expertise,development_time,iterations,user_testing_hours,initial_funding,marketing_budget,price_point,innovation_intensity,resource_efficiency,market_readiness,team_strength,user_sentiment_score,success,success_level,success_probability
PROD_00000,tech_innovations,2020,Q2,7.745071229516849,9.400899406313494,8.665839368581246,11.046059712816051,6.648769937914996,5.531726086101639,9.842583067913305,7.651152093729364,7.436630736878057,27.3,10,406.85404928594863,8262175.488347394,691526.7411335934,1000.0,8.205455299049047,0.3026437907819558,9.190237778205123,8.310121966173575,4.987882447366249,1,growing,0.6499999999999999
PROD_00001,tech_innovations,2021,Q2,5.637963886718183,6.3052355583976505,10.138167784058798,7.548447399026928,7.101292307031886,3.1505036275730864,6.020111095854671,6.666383884564799,6.618807707093237,20.0,9,441.66125004134466,3930455.2840983295,2524742.53768304,1000.0,7.88806583538849,0.1965227642049165,3.3488849472693847,6.435100895837569,4.09612032787938,1,breakthrough,0.41464910994710436
PROD_00002,tech_innovations,2019,Q3,8.233817368154783,7.841985144041727,7.875954471008559,4.080659752240448,5.007720926652354,6.393722471738247,8.329239843991738,6.757052421784956,7.861222061134112,20.8,6,356.0311583210583,4158616.3220393676,1696489.4950794142,1000.0,8.054885919581672,0.19993347702112346,5.210075868756343,7.649171442303602,2.826527720347079,1,breakthrough,0.6460988016504706
PROD_00003,tech_innovations,2022,Q1,5.984616999541062,8.734011546609041,9.355799140492712,9.862560238232398,5.741173715166042,5.381575248297571,7.596274176526415,7.963317690683539,7.424990914585652,16.0,7,260.7586751838659,10380337.062364135,3546306.6413226156,1000.0,7.670208070016887,0.6487710663977584,9.244818689723315,7.6615275939318686,7.806359216205643,1,breakthrough,0.6499999999999999
PROD_00004,tech_innovations,2022,Q3,7.5420934082626205,11.814772655710994,7.4355131296020875,11.129287311628012,3.0703823438653837,7.643805008750448,7.156684722828708,6.051488974301199,8.110112931842602,7.800000000000001,11,571.4225143023493,13545584.654122671,1389093.7495420345,1000.0,7.4888032689323545,1.7366134171952141,27.7066803313323,7.106095542990836,6.247364434623195,0,struggling,0.6499999999999999
PROD_00005,tech_innovations,2023,Q2,8.373103176553112,10.073401597909946,6.54643163321933,9.026534866226712,7.14561632402206,7.937289981065779,5.736304431020765,6.008506780103348,7.52947021624141,11.700000000000001,13,552.2110544359779,7515356.069092462,1600783.3420452673,1000.0,7.459767404886222,0.6423381255634583,10.026598337862426,6.424760475788507,6.369032015851961,1,breakthrough,0.6499999999999999
PROD_00006,tech_innovations,2021,Q2,7.679404489800264,9.360872291974466,7.886889894170559,3.95537013360853,5.585414787299106,8.807917477318586,6.966608551879047,3.989743067014665,6.712961798677211,15.600000000000001,12,413.47814389039735,3841123.84388623,1001970.5912837158,1000.0,7.783147191985412,0.2462258874286045,6.237419252782321,5.889771139190308,5.533748439469997,1,growing,0.6071967395039746
PROD_00007,tech_innovations,2023,Q2,7.509731446279965,9.589372584079815,8.881134309671527,5.700414845011283,5.836995841064583,7.546281711778498,5.556709881970551,8.576023578399017,9.686246367053826,33.800000000000004,8,515.3789897169142,4104421.9608432557,1586580.8693450522,1392.1033316260773,8.195432877975746,0.12143260239181229,7.369704804623201,7.9396599424744645,8.310384123453069,1,growing,0.6499999999999999
PROD_00008,tech_innovations,2022,Q4,7.9736300989436595,7.839062107187558,8.465404858287718,6.170618137477446,7.930822323942603,5.678125246273873,6.301124081842095,5.171731439256727,7.571905969078167,27.3,16,605.2896322669392,8627825.661580935,3559362.1523924046,1000.0,8.219517478615689,0.3160375700212797,4.417895295138593,6.348253830058996,6.691199924356742,0,struggling,0.49304513109032827
PROD_00009,tech_innovations,2020,Q3,4.839937828474303,9.428872707336367,9.838914265676078,6.2657076879008935,7.926461268266717,8.43414159396022,7.4073188850979745,7.7711021488649585,8.209799614389766,10.0,16,765.0211323028402,6707580.725707575,620488.237514361,1000.0,7.33942604707519,0.6707580725707575,6.6670187410979525,7.7960735494509,5.304357920319205,0,struggling,0.6499999999999999
